CODE,MUNICIPIO,SI,NO,BLANCO,NULO,NOTES
abella-de-la-conca,Abella de la Conca,7286,4523,397,489,El censo de <strong>Abella de la Conca</strong> es <strong>17686</strong> y ha participado un <strong>72%</strong>
abrera,Abrera,6388,4039,288,370,El censo de <strong>Abrera</strong> es <strong>14266</strong> y ha participado un <strong>78%</strong>
ager,Àger,8555,4859,495,208,El censo de <strong>Àger</strong> es <strong>19069</strong> y ha participado un <strong>74%</strong>
agramunt,Agramunt,5315,5817,276,259,El censo de <strong>Agramunt</strong> es <strong>15259</strong> y ha participado un <strong>76%</strong>
aguilar-de-segarra,Aguilar de Segarra,5043,3593,189,308,El censo de <strong>Aguilar de Segarra</strong> es <strong>14316</strong> y ha participado un <strong>64%</strong>
agullana,Agullana,7095,5255,117,178,El censo de <strong>Agullana</strong> es <strong>17743</strong> y ha participado un <strong>71%</strong>
aiguafreda,Aiguafreda,5678,3186,164,437,El censo de <strong>Aiguafreda</strong> es <strong>14721</strong> y ha participado un <strong>64%</strong>
aiguamurcia,Aiguamúrcia,7902,4088,117,347,El censo de <strong>Aiguamúrcia</strong> es <strong>16968</strong> y ha participado un <strong>73%</strong>
aiguaviva,Aiguaviva,5441,5599,255,248,El censo de <strong>Aiguaviva</strong> es <strong>16858</strong> y ha participado un <strong>68%</strong>
aitona,Aitona,5079,3951,207,112,El censo de <strong>Aitona</strong> es <strong>14609</strong> y ha participado un <strong>64%</strong>
alas-i-cerc,Alàs i Cerc,9377,4704,360,221,El censo de <strong>Alàs i Cerc</strong> es <strong>18236</strong> y ha participado un <strong>80%</strong>
albanya,Albanyà,8338,5359,112,211,El censo de <strong>Albanyà</strong> es <strong>17716</strong> y ha participado un <strong>79%</strong>
albatarrec,Albatàrrec,6454,5650,168,190,El censo de <strong>Albatàrrec</strong> es <strong>17349</strong> y ha participado un <strong>72%</strong>
albesa,Albesa,9556,3654,367,199,El censo de <strong>Albesa</strong> es <strong>18976</strong> y ha participado un <strong>73%</strong>
albinyana,Albinyana,5215,5503,141,160,El censo de <strong>Albinyana</strong> es <strong>15419</strong> y ha participado un <strong>71%</strong>
albons,Albons,5634,3323,353,243,El censo de <strong>Albons</strong> es <strong>13962</strong> y ha participado un <strong>68%</strong>
alcanar,Alcanar,8366,3026,157,110,El censo de <strong>Alcanar</strong> es <strong>16390</strong> y ha participado un <strong>71%</strong>
alcano,Alcanó,6507,4465,364,242,El censo de <strong>Alcanó</strong> es <strong>17397</strong> y ha participado un <strong>67%</strong>
alcarras,Alcarràs,7982,4221,179,194,El censo de <strong>Alcarràs</strong> es <strong>17301</strong> y ha participado un <strong>73%</strong>
alcoletge,Alcoletge,7425,5708,222,246,El censo de <strong>Alcoletge</strong> es <strong>18357</strong> y ha participado un <strong>74%</strong>
alcover,Alcover,8678,4589,104,171,El censo de <strong>Alcover</strong> es <strong>16821</strong> y ha participado un <strong>81%</strong>
aldover,Aldover,5496,5984,222,277,El censo de <strong>Aldover</strong> es <strong>17270</strong> y ha participado un <strong>69%</strong>
alella,Alella,8728,4552,189,433,El censo de <strong>Alella</strong> es <strong>18961</strong> y ha participado un <strong>73%</strong>
alfara-de-carles,Alfara de Carles,6353,4719,251,150,El censo de <strong>Alfara de Carles</strong> es <strong>16874</strong> y ha participado un <strong>68%</strong>
alfarras,Alfarràs,9221,3092,388,391,El censo de <strong>Alfarràs</strong> es <strong>17424</strong> y ha participado un <strong>75%</strong>
alfes,Alfés,9115,5293,481,216,El censo de <strong>Alfés</strong> es <strong>18365</strong> y ha participado un <strong>82%</strong>
alforja,Alforja,7250,3009,266,457,El censo de <strong>Alforja</strong> es <strong>16095</strong> y ha participado un <strong>68%</strong>
algerri,Algerri,5494,4322,279,163,El censo de <strong>Algerri</strong> es <strong>14113</strong> y ha participado un <strong>73%</strong>
alguaire,Alguaire,5084,4164,395,176,El censo de <strong>Alguaire</strong> es <strong>15173</strong> y ha participado un <strong>65%</strong>
alins,Alins,9629,5796,398,302,El censo de <strong>Alins</strong> es <strong>20769</strong> y ha participado un <strong>78%</strong>
alio,Alió,8750,4055,346,185,El censo de <strong>Alió</strong> es <strong>18907</strong> y ha participado un <strong>71%</strong>
almacelles,Almacelles,8359,3516,144,446,El censo de <strong>Almacelles</strong> es <strong>17220</strong> y ha participado un <strong>72%</strong>
almatret,Almatret,7247,4023,491,225,El censo de <strong>Almatret</strong> es <strong>17707</strong> y ha participado un <strong>68%</strong>
almenar,Almenar,9635,4589,176,129,El censo de <strong>Almenar</strong> es <strong>19648</strong> y ha participado un <strong>74%</strong>
almoster,Almoster,8932,4925,376,468,El censo de <strong>Almoster</strong> es <strong>19570</strong> y ha participado un <strong>75%</strong>
alos-de-balaguer,Alòs de Balaguer,8476,3938,259,208,El censo de <strong>Alòs de Balaguer</strong> es <strong>18356</strong> y ha participado un <strong>70%</strong>
alp,Alp,7743,4939,277,471,El censo de <strong>Alp</strong> es <strong>18453</strong> y ha participado un <strong>73%</strong>
alpens,Alpens,6521,5613,270,297,El censo de <strong>Alpens</strong> es <strong>16339</strong> y ha participado un <strong>78%</strong>
alpicat,Alpicat,7490,4998,304,235,El censo de <strong>Alpicat</strong> es <strong>17066</strong> y ha participado un <strong>76%</strong>
alt-aneu,Alt Àneu,6334,3716,414,130,El censo de <strong>Alt Àneu</strong> es <strong>14337</strong> y ha participado un <strong>74%</strong>
altafulla,Altafulla,8643,4931,405,307,El censo de <strong>Altafulla</strong> es <strong>17818</strong> y ha participado un <strong>80%</strong>
amer,Amer,6994,5894,425,142,El censo de <strong>Amer</strong> es <strong>17581</strong> y ha participado un <strong>77%</strong>
amposta,Amposta,8451,4467,212,457,El censo de <strong>Amposta</strong> es <strong>17215</strong> y ha participado un <strong>79%</strong>
angles,Anglès,7349,5046,496,137,El censo de <strong>Anglès</strong> es <strong>17004</strong> y ha participado un <strong>77%</strong>
anglesola,Anglesola,6804,4720,466,414,El censo de <strong>Anglesola</strong> es <strong>17455</strong> y ha participado un <strong>71%</strong>
arbeca,Arbeca,7226,3815,448,240,El censo de <strong>Arbeca</strong> es <strong>15500</strong> y ha participado un <strong>76%</strong>
arboli,Arbolí,6597,3800,426,366,El censo de <strong>Arbolí</strong> es <strong>14635</strong> y ha participado un <strong>76%</strong>
arbucies,Arbúcies,8273,5532,250,491,El censo de <strong>Arbúcies</strong> es <strong>18980</strong> y ha participado un <strong>77%</strong>
arenys-de-mar,Arenys de Mar,8736,4332,263,325,El censo de <strong>Arenys de Mar</strong> es <strong>16921</strong> y ha participado un <strong>81%</strong>
arenys-de-munt,Arenys de Munt,8868,4335,104,200,El censo de <strong>Arenys de Munt</strong> es <strong>19022</strong> y ha participado un <strong>71%</strong>
argelaguer,Argelaguer,7336,5074,204,433,El censo de <strong>Argelaguer</strong> es <strong>17211</strong> y ha participado un <strong>76%</strong>
argencola,Argençola,6159,5457,421,329,El censo de <strong>Argençola</strong> es <strong>15638</strong> y ha participado un <strong>79%</strong>
argentona,Argentona,9734,3953,212,333,El censo de <strong>Argentona</strong> es <strong>18880</strong> y ha participado un <strong>75%</strong>
arnes,Arnes,5592,4512,405,487,El censo de <strong>Arnes</strong> es <strong>14225</strong> y ha participado un <strong>77%</strong>
arres,Arres,9466,5691,177,108,El censo de <strong>Arres</strong> es <strong>19020</strong> y ha participado un <strong>81%</strong>
arseguel,Arsèguel,9697,4747,399,110,El censo de <strong>Arsèguel</strong> es <strong>19588</strong> y ha participado un <strong>76%</strong>
